TIME_STAMP,FORECAST_VALUE
2023-01-21,00:00,6045.1447
2023-01-21,01:00,5673.98409633789
2023-01-21,02:00,5272.11165
2023-01-21,03:00,4989.41004816894
2023-01-21,04:00,4842.41564816895
2023-01-21,05:00,4842.9405
2023-01-21,06:00,4967.88567591553
2023-01-21,07:00,5186.8024
2023-01-21,08:00,5494.70329816894
2023-01-21,09:00,5828.06559816895
2023-01-21,10:00,6039.37004816894
2023-01-21,11:00,6178.48974816895
2023-01-21,12:00,6209.98854816894
2023-01-21,13:00,6128.35390183105
2023-01-21,14:00,5997.63375366211
2023-01-21,15:00,6013.90864633789
2023-01-21,16:00,6377.71940183105
2023-01-21,17:00,6549.65035183105
2023-01-21,18:00,6581.93675
2023-01-21,19:00,6580.36155366211
2023-01-21,20:00,6533.3761
2023-01-21,21:00,6399.76894633789
2023-01-21,22:00,6345.95849633789
2023-01-21,23:00,6188.46449633789
