TIME_STAMP,FORECAST_VALUE
2023-01-19,00:00,6090.81770366211
2023-01-19,01:00,5687.10859633789
2023-01-19,02:00,5294.68572591553
2023-01-19,03:00,5045.32022591553
2023-01-19,04:00,4972.61062408447
2023-01-19,05:00,5188.37727591553
2023-01-19,06:00,5756.4057
2023-01-19,07:00,6201.06350366211
2023-01-19,08:00,6332.30850366211
2023-01-19,09:00,6364.85764816895
2023-01-19,10:00,6332.57125
2023-01-19,11:00,6315.5094
2023-01-19,12:00,6207.36364816894
2023-01-19,13:00,6171.92749816895
2023-01-19,14:00,6058.00645366211
2023-01-19,15:00,6127.56630366211
2023-01-19,16:00,6633.64715183105
2023-01-19,17:00,6810.30305
2023-01-19,18:00,6828.67735
2023-01-19,19:00,6728.93115
2023-01-19,20:00,6619.47294816894
2023-01-19,21:00,6388.48174816895
2023-01-19,22:00,6233.61264816894
2023-01-19,23:00,6139.6411
