TIME_STAMP,FORECAST_VALUE
2023-01-17,00:00,6426.01794633789
2023-01-17,01:00,5985.55959816894
2023-01-17,02:00,5589.46180366211
2023-01-17,03:00,5312.01000183105
2023-01-17,04:00,5242.71289816894
2023-01-17,05:00,5405.45669816895
2023-01-17,06:00,5924.66204633789
2023-01-17,07:00,6420.24265366211
2023-01-17,08:00,6602.14835183105
2023-01-17,09:00,6697.43235
2023-01-17,10:00,6693.75774633789
2023-01-17,11:00,6656.48365366211
2023-01-17,12:00,6613.96040183105
2023-01-17,13:00,6505.02705183105
2023-01-17,14:00,6409.48094816894
2023-01-17,15:00,6448.59170183105
2023-01-17,16:00,6797.17855
2023-01-17,17:00,7099.04205
2023-01-17,18:00,7135.79065
2023-01-17,19:00,7084.08024816894
2023-01-17,20:00,6987.4838
2023-01-17,21:00,6818.96534816894
2023-01-17,22:00,6730.2436
2023-01-17,23:00,6578.78699816894
